"TOT_P","GRD_ID","CNTR_CODE","METHD_CL","YEAR","DATA_SRC","TOT_P_CON_DT"
8,"1kmN3878E4173","NO","A",2011,"NO","0"
167,"1kmN3878E4174","NO","A",2011,"NO","0"
9,"1kmN3878E4175","NO","A",2011,"NO","0"
3,"1kmN3879E4146","NO","A",2011,"NO","0"
1,"1kmN3879E4172","NO","A",2011,"NO","0"
128,"1kmN3879E4173","NO","A",2011,"NO","0"
54,"1kmN3879E4174","NO","A",2011,"NO","0"
17,"1kmN3879E4175","NO","A",2011,"NO","0"
1,"1kmN3880E4146","NO","A",2011,"NO","0"
14,"1kmN3880E4147","NO","A",2011,"NO","0"
22,"1kmN3880E4148","NO","A",2011,"NO","0"
1,"1kmN3880E4165","NO","A",2011,"NO","0"
5,"1kmN3880E4173","NO","A",2011,"NO","0"
11,"1kmN3880E4174","NO","A",2011,"NO","0"
35,"1kmN3880E4175","NO","A",2011,"NO","0"
19,"1kmN3880E4177","NO","A",2011,"NO","0"
38,"1kmN3880E4178","NO","A",2011,"NO","0"
7,"1kmN3881E4145","NO","A",2011,"NO","0"
14,"1kmN3881E4148","NO","A",2011,"NO","0"
10,"1kmN3881E4149","NO","A",2011,"NO","0"
1,"1kmN3881E4164","NO","A",2011,"NO","0"
26,"1kmN3881E4173","NO","A",2011,"NO","0"
71,"1kmN3881E4174","NO","A",2011,"NO","0"
98,"1kmN3881E4175","NO","A",2011,"NO","0"
132,"1kmN3881E4176","NO","A",2011,"NO","0"
10,"1kmN3881E4177","NO","A",2011,"NO","0"
16,"1kmN3881E4178","NO","A",2011,"NO","0"
27,"1kmN3881E4179","NO","A",2011,"NO","0"
1,"1kmN3881E4181","NO","A",2011,"NO","0"
1,"1kmN3882E4143","NO","A",2011,"NO","0"
8,"1kmN3882E4149","NO","A",2011,"NO","0"
6,"1kmN3882E4164","NO","A",2011,"NO","0"
7,"1kmN3882E4165","NO","A",2011,"NO","0"
14,"1kmN3882E4166","NO","A",2011,"NO","0"
205,"1kmN3882E4167","NO","A",2011,"NO","0"
283,"1kmN3882E4168","NO","A",2011,"NO","0"
56,"1kmN3882E4169","NO","A",2011,"NO","0"
281,"1kmN3882E4170","NO","A",2011,"NO","0"
381,"1kmN3882E4171","NO","A",2011,"NO","0"
1,"1kmN3882E4172","NO","A",2011,"NO","0"
25,"1kmN3882E4174","NO","A",2011,"NO","0"
33,"1kmN3882E4175","NO","A",2011,"NO","0"
7,"1kmN3882E4176","NO","A",2011,"NO","0"
5,"1kmN3882E4179","NO","A",2011,"NO","0"
13,"1kmN3882E4180","NO","A",2011,"NO","0"
15,"1kmN3882E4181","NO","A",2011,"NO","0"
15,"1kmN3882E4182","NO","A",2011,"NO","0"
5,"1kmN3882E4183","NO","A",2011,"NO","0"
89,"1kmN3883E4143","NO","A",2011,"NO","0"
27,"1kmN3883E4144","NO","A",2011,"NO","0"
15,"1kmN3883E4147","NO","A",2011,"NO","0"
11,"1kmN3883E4164","NO","A",2011,"NO","0"
18,"1kmN3883E4165","NO","A",2011,"NO","0"
11,"1kmN3883E4166","NO","A",2011,"NO","0"
24,"1kmN3883E4167","NO","A",2011,"NO","0"
484,"1kmN3883E4168","NO","A",2011,"NO","0"
1663,"1kmN3883E4169","NO","A",2011,"NO","0"
1876,"1kmN3883E4170","NO","A",2011,"NO","0"
684,"1kmN3883E4171","NO","A",2011,"NO","0"
1402,"1kmN3883E4172","NO","A",2011,"NO","0"
291,"1kmN3883E4173","NO","A",2011,"NO","0"
3,"1kmN3883E4179","NO","A",2011,"NO","0"
22,"1kmN3883E4180","NO","A",2011,"NO","0"
23,"1kmN3883E4183","NO","A",2011,"NO","0"
6,"1kmN3884E4143","NO","A",2011,"NO","0"
4,"1kmN3884E4144","NO","A",2011,"NO","0"
4,"1kmN3884E4148","NO","A",2011,"NO","0"
20,"1kmN3884E4149","NO","A",2011,"NO","0"
74,"1kmN3884E4156","NO","A",2011,"NO","0"
1,"1kmN3884E4158","NO","A",2011,"NO","0"
3,"1kmN3884E4159","NO","A",2011,"NO","0"
10,"1kmN3884E4160","NO","A",2011,"NO","0"
2,"1kmN3884E4161","NO","A",2011,"NO","0"
15,"1kmN3884E4162","NO","A",2011,"NO","0"
37,"1kmN3884E4163","NO","A",2011,"NO","0"
44,"1kmN3884E4164","NO","A",2011,"NO","0"
70,"1kmN3884E4165","NO","A",2011,"NO","0"
216,"1kmN3884E4167","NO","A",2011,"NO","0"
404,"1kmN3884E4168","NO","A",2011,"NO","0"
510,"1kmN3884E4169","NO","A",2011,"NO","0"
1422,"1kmN3884E4170","NO","A",2011,"NO","0"
500,"1kmN3884E4171","NO","A",2011,"NO","0"
82,"1kmN3884E4172","NO","A",2011,"NO","0"
64,"1kmN3884E4173","NO","A",2011,"NO","0"
47,"1kmN3884E4174","NO","A",2011,"NO","0"
56,"1kmN3884E4175","NO","A",2011,"NO","0"
41,"1kmN3884E4176","NO","A",2011,"NO","0"
2,"1kmN3884E4178","NO","A",2011,"NO","0"
28,"1kmN3884E4179","NO","A",2011,"NO","0"
10,"1kmN3884E4180","NO","A",2011,"NO","0"
13,"1kmN3884E4181","NO","A",2011,"NO","0"
18,"1kmN3884E4182","NO","A",2011,"NO","0"
16,"1kmN3884E4183","NO","A",2011,"NO","0"
4,"1kmN3885E4142","NO","A",2011,"NO","0"
37,"1kmN3885E4144","NO","A",2011,"NO","0"
27,"1kmN3885E4149","NO","A",2011,"NO","0"
48,"1kmN3885E4151","NO","A",2011,"NO","0"
94,"1kmN3885E4152","NO","A",2011,"NO","0"
7,"1kmN3885E4153","NO","A",2011,"NO","0"
91,"1kmN3885E4155","NO","A",2011,"NO","0"
26,"1kmN3885E4156","NO","A",2011,"NO","0"
9,"1kmN3885E4158","NO","A",2011,"NO","0"
14,"1kmN3885E4162","NO","A",2011,"NO","0"
1,"1kmN3885E4163","NO","A",2011,"NO","0"
39,"1kmN3885E4164","NO","A",2011,"NO","0"
23,"1kmN3885E4165","NO","A",2011,"NO","0"
4,"1kmN3885E4166","NO","A",2011,"NO","0"
92,"1kmN3885E4167","NO","A",2011,"NO","0"
16,"1kmN3885E4168","NO","A",2011,"NO","0"
125,"1kmN3885E4169","NO","A",2011,"NO","0"
205,"1kmN3885E4170","NO","A",2011,"NO","0"
23,"1kmN3885E4171","NO","A",2011,"NO","0"
27,"1kmN3885E4172","NO","A",2011,"NO","0"
37,"1kmN3885E4173","NO","A",2011,"NO","0"
13,"1kmN3885E4174","NO","A",2011,"NO","0"
26,"1kmN3885E4175","NO","A",2011,"NO","0"
5,"1kmN3885E4176","NO","A",2011,"NO","0"
12,"1kmN3885E4177","NO","A",2011,"NO","0"
117,"1kmN3885E4178","NO","A",2011,"NO","0"
38,"1kmN3885E4179","NO","A",2011,"NO","0"
10,"1kmN3885E4181","NO","A",2011,"NO","0"
36,"1kmN3885E4182","NO","A",2011,"NO","0"
50,"1kmN3885E4183","NO","A",2011,"NO","0"
26,"1kmN3885E4184","NO","A",2011,"NO","0"
45,"1kmN3885E4185","NO","A",2011,"NO","0"
63,"1kmN3885E4186","NO","A",2011,"NO","0"
13,"1kmN3885E4189","NO","A",2011,"NO","0"
6,"1kmN3885E4192","NO","A",2011,"NO","0"
15,"1kmN3885E4193","NO","A",2011,"NO","0"
2,"1kmN3886E4142","NO","A",2011,"NO","0"
2,"1kmN3886E4143","NO","A",2011,"NO","0"
